technology_name,segment,primary_energy_carrier,secondary_energy_carrier,saf_pathway,drop_in_fuel,maximum_secondary_energy_share,lifetime_years,payback_interest_rate,capex_eur,maintenance_cost_share,depreciation_cost_share,kilometer_per_kwh,trip_days_per_year,fuel_capacity_kwh,trip_length_km,economy_seats,business_seats,first_class_seats,mtow,oew,primary_energy_emission_factor,secondary_energy_emission_factor,hydrocarbon_factor,carbon_monoxide_factor,nitrogen_oxide_factor,smoke_number_factor,payload_capacity_kg,technology_family,service_entry_year,minimum_airport_class,technology_notes,gross_tonnage,net_tonnage_share,max_tanker_size_tonnes,reported_emission_factor,carbondioxide_factor,sulphur_factor,minimum_port_class
hydrogen_regional,regional,hydrogen,none,none,0,0.0,25,0.08,13538759,0.05,0.1,0.11,280,980000,1800,0,0,0,0,0,0.0,0.0,0,0,0.002,0.0,9500000,hydrogen,2032,,"CAPEX rebuilt bottom-up (revised): installed power now 4019 kW, a real fleet-composition-weighted figure across this segment's actual vessel types (General Cargo Ship: real Hagland Captain retrofit, 1,980 kW; Oil/Chemical Products Tanker: real 13,700 DWT handysize tanker, 6,566 kW; Container Ship: ~8,000 kW feeder-class estimate; Heavy Load Carrier proxied with the tanker figure) - replaces the earlier flat 7,500 kW generic Handysize-bulk-carrier estimate. Hydrogen dual-fuel ICE >2.5MW at the 2030 EMSA rate (EUR504/kW) + liquid-H2 tank at EUR1.71/kWh on the real fuel_capacity_kwh (980,000 kWh), less the displaced conventional engine (EUR240/kW), added to the real marine_diesel_regional base. Was EUR14,457,706. lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 28 years.",18000,0.62,0,0.0,0.0,0.0,B
battery_regional,regional,electricity,none,none,0,0.0,25,0.08,12218192,0.05,0.1,0.11,280,9091,500,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,9500000,battery_electric,2022,,"CAPEX rebuilt bottom-up (revised): installed power now 4019 kW, same real fleet-composition-weighted figure as hydrogen_regional (see that row's note) - replaces the earlier flat 7,500 kW estimate. Electric motor (large vessel >15,000 DWT, EUR140/kW) + battery pack on the real fuel_capacity_kwh (9,091 kWh, sized earlier this session to one real 500km charge cycle with a 2x reserve margin) x EUR200/kWh, less the displaced conventional engine (EUR240/kW), added to the real marine_diesel_regional base. Was EUR11,870,106. lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 28 years.",18000,0.62,0,0.0,0.0,0.0,B
hybrid_regional,regional,marine_diesel,electricity,none,0,0.2,25,0.08,10965906,0.05,0.1,0.11,280,980000,1800,0,0,0,0,0,0.73,0.0,280,235,0.045,0.003,9500000,hybrid_electric,2018,,"CAPEX = real marine_diesel_regional base + a modest hybrid add-on (main engine retained IN FULL - hybrid adds a peak-shaving/PTI battery+motor system, it does not replace main propulsion): 400 kWh battery (real-anchored: the Hagland Captain hybrid retrofit - DNV GL classed, 1,980kW MaK main engine, Wartsila system, ~30 minutes electric-only harbour sailing - and a separate real feeder-vessel case study where a 500 kWh battery replaced one genset, both point to a few-hundred-kWh scale) x EUR200/kWh, plus a 600 kW PTI/maneuvering motor (engineering estimate, not a cited figure - no real regional-scale PTI motor rating was found) x EUR140/kW. Was EUR58,240,000. lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 28 years.",18000,0.62,0,0.62,0.0167,8e-05,B
hybrid_deepsea,deepsea,marine_diesel,electricity,none,0,0.2,25,0.08,65654030,0.05,0.1,0.08,295,3100000,9600,0,0,0,0,0,0.73,0.0,280,235,0.045,0.003,42000000,hybrid_electric,2018,,"CAPEX = real marine_diesel_deepsea base + a hybrid add-on (main engine retained IN FULL): 10,000 kWh battery (real-anchored: containerized hybrid retrofit modules at ~2.5 MWh/container, up to 6 containers/vessel = 15 MWh max real product capacity - this uses 4 of 6, a mid-range, not maximum, allocation) x EUR200/kWh, plus a 5,031 kW PTO/PTI motor (engineering estimate: ~8% of the real 62,890 kW main engine, a common real-world hybrid-retrofit fraction, not a specific cited figure) x EUR130/kW (containership-specific rate). Was EUR154,560,000. lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 30 years.",76000,0.68,0,0.62,0.0167,8e-05,C
wind_assist_regional,regional,marine_diesel,none,none,0,0.0,25,0.08,14841906,0.05,0.1,0.11,280,980000,1800,0,0,0,0,0,0.584,0.0,256,216,0.0416,0.00288,9500000,wind_assist,2015,,"CAPEX = real marine_diesel_regional base + 2 Flettner rotor sails (real precedent: smaller product tankers typically receive 2 units, e.g. Maersk Tankers' installations) at ~EUR2.02M/unit (real reporting: 'over $2 million' per rotor, converted at ~0.92 EUR/USD - an approximate figure, not a precise citation). Main engine retained in full - wind-assist is a supplementary system, not a propulsion replacement. Was EUR53,560,000. lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 28 years.",18000,0.62,0,0.544,0.015697,0.01909,B
wind_assist_deepsea,deepsea,marine_diesel,none,none,0,0.0,25,0.08,69060000,0.05,0.1,0.08,295,3100000,9600,0,0,0,0,0,0.584,0.0,256,216,0.0416,0.00288,42000000,wind_assist,2015,,"CAPEX = real marine_diesel_deepsea base + 3 Flettner rotor sails (real precedent: installations range 2 units on smaller tankers to 4-5 on very large 200,000+ DWT bulk carriers - our ~70,000 GT container ship sits well below that upper end, so 3 is used as a mid-range estimate) at ~EUR2.02M/unit (real reporting: 'over $2 million' per rotor - approximate). Main engine retained in full. Was EUR142,140,000. lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 30 years.",76000,0.68,0,0.544,0.015697,0.01909,C
methanol_ready_regional,regional,marine_diesel,none,none,0,0.0,25,0.08,12257647,0.015,0.0669,0.11,280,980000,1800,0,0,0,0,0,0.73,0.0,320,270,0.052,0.0036,9500000,methanol_ready,2020,,"Represents R02 (methanol-ready vessel) - currently burns conventional fuel exactly like marine_diesel_regional (per the explicit rule that a 'ready' vessel is NOT already compatible with its future fuel), but at a premium that buys a full methanol engine/tank/piping conversion later for materially less than converting an unprepared vessel (real retrofit cost otherwise: EUR250-550/kW, Sustainable Ships/MAN-ES). This row exists to let the investment decision distinguish 'pay a small premium now for future optionality' from plain conventional - NATM's payback/NPV logic can evaluate the premium itself, but does not yet model the avoided-future-conversion-cost benefit; that is a model-logic gap, not a data gap. CAPEX/maintenance/depreciation now replaced with real data from Parameter_Technology_Costs.xlsx (id_technology=Dual LNG MDO, Methanol-ready), fleet-composition-weighted - supersedes an earlier +3% estimate (DNV methanol-fuelled 5500-TEU case study). lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 28 years.",18000,0.62,0,0.68,0.019621,0.0238625,B
ammonia_ready_regional,regional,marine_diesel,none,none,0,0.0,25,0.08,11181525,0.015,0.0669,0.11,280,980000,1800,0,0,0,0,0,0.73,0.0,320,270,0.052,0.0036,9500000,ammonia_ready,2024,,"Represents R03 (ammonia-ready vessel) - currently burns conventional fuel exactly like marine_diesel_regional (same 'not already compatible' rule as methanol-ready). Same NATM model-logic caveat as methanol_ready above: the premium is priced, the avoided-future-conversion-cost benefit is not yet modeled by the decision logic. CAPEX now set to real lng_regional capex x 1.02 (LNG-to-ammonia preparation at newbuild, reduced range, +2% vs LNG newbuild, 15,000 TEU evidence, 2022) - supersedes an earlier +1.5% estimate (Splash247: ~$2m extra on a ~$130m VLCC newbuild). No dedicated 'ammonia-ready' id_technology entry exists in Parameter_Technology_Costs.xlsx. lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 28 years.",18000,0.62,0,0.68,0.019621,0.0238625,B
methanol_ready_deepsea,deepsea,marine_diesel,none,none,0,0.0,25,0.08,72000000,0.015,0.08,0.08,295,3100000,9600,0,0,0,0,0,0.73,0.0,320,270,0.052,0.0036,42000000,methanol_ready,2020,,"Represents R02 (methanol-ready vessel) - currently burns conventional fuel exactly like marine_diesel_deepsea (per the explicit rule that a 'ready' vessel is NOT already compatible with its future fuel), but at a premium that buys a full methanol engine/tank/piping conversion later for materially less than converting an unprepared vessel (real retrofit cost otherwise: EUR250-550/kW, Sustainable Ships/MAN-ES). This row exists to let the investment decision distinguish 'pay a small premium now for future optionality' from plain conventional - NATM's payback/NPV logic can evaluate the premium itself, but does not yet model the avoided-future-conversion-cost benefit; that is a model-logic gap, not a data gap. CAPEX/maintenance/depreciation now replaced with real data from Parameter_Technology_Costs.xlsx (id_technology=Dual LNG MDO, Methanol-ready), fleet-composition-weighted - supersedes an earlier +3% estimate (DNV methanol-fuelled 5500-TEU case study). lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 30 years.",76000,0.68,0,0.68,0.019621,0.0238625,C
ammonia_ready_deepsea,deepsea,marine_diesel,none,none,0,0.0,25,0.08,73830000,0.015,0.08,0.08,295,3100000,9600,0,0,0,0,0,0.73,0.0,320,270,0.052,0.0036,42000000,ammonia_ready,2024,,"Represents R03 (ammonia-ready vessel) - currently burns conventional fuel exactly like marine_diesel_deepsea (same 'not already compatible' rule as methanol-ready). Same NATM model-logic caveat as methanol_ready above: the premium is priced, the avoided-future-conversion-cost benefit is not yet modeled by the decision logic. CAPEX now set to real lng_deepsea capex x 1.07 (LNG-to-ammonia preparation at newbuild, full range, +7% vs LNG newbuild, 15,000 TEU evidence, 2022) - supersedes an earlier +1.5% estimate (Splash247: ~$2m extra on a ~$130m VLCC newbuild). No dedicated 'ammonia-ready' id_technology entry exists in Parameter_Technology_Costs.xlsx. lifetime_years set to 25 years (evidence-based recommended value across this fleet's real vessel types - General Cargo Ship, Oil/Chemical Products Tanker, Container Ship, Heavy Load Carrier all recommend 25y; vessel lifetime is hull-driven, not propulsion-technology-driven). Was 30 years.",76000,0.68,0,0.68,0.019621,0.0238625,C
